Theme,Context,Selector,Property,Value
editorial,preview-prod,.teinvit-preview,computed.fontFamily,"Inter, sans-serif"
editorial,preview-prod,.teinvit-preview,computed.fontSize,17.25px
editorial,preview-prod,.teinvit-preview,computed.lineHeight,26.7375px
editorial,preview-prod,.teinvit-preview,computed.letterSpacing,normal
editorial,preview-prod,.teinvit-preview,computed.textTransform,none
editorial,preview-prod,.teinvit-preview,computed.marginTop,0px
editorial,preview-prod,.teinvit-preview,computed.marginBottom,0px
editorial,preview-prod,.teinvit-preview,computed.paddingTop,0px
editorial,preview-prod,.teinvit-preview,computed.paddingBottom,0px
editorial,preview-prod,.teinvit-preview,geometry.x,686.094
editorial,preview-prod,.teinvit-preview,geometry.y,1586.828
editorial,preview-prod,.teinvit-preview,geometry.width,559
editorial,preview-prod,.teinvit-preview,geometry.height,794
editorial,preview-prod,.teinvit-preview,geometry.clientWidth,559
editorial,preview-prod,.teinvit-preview,geometry.clientHeight,794
editorial,preview-prod,.teinvit-preview,geometry.scrollWidth,559
editorial,preview-prod,.teinvit-preview,geometry.scrollHeight,794
editorial,preview-prod,.teinvit-preview,inline.styleAttr,
editorial,preview-prod,.teinvit-preview,inline.styleFontSize,
editorial,preview-prod,.teinvit-preview,inline.styleMarginTop,
editorial,preview-prod,.teinvit-preview,inline.styleMarginBottom,
editorial,preview-prod,.teinvit-canvas,computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.teinvit-canvas,computed.fontSize,17.25px
editorial,preview-prod,.teinvit-canvas,computed.lineHeight,23.2875px
editorial,preview-prod,.teinvit-canvas,computed.letterSpacing,normal
editorial,preview-prod,.teinvit-canvas,computed.textTransform,none
editorial,preview-prod,.teinvit-canvas,computed.marginTop,0px
editorial,preview-prod,.teinvit-canvas,computed.marginBottom,0px
editorial,preview-prod,.teinvit-canvas,computed.paddingTop,0px
editorial,preview-prod,.teinvit-canvas,computed.paddingBottom,0px
editorial,preview-prod,.teinvit-canvas,geometry.x,730.813
editorial,preview-prod,.teinvit-canvas,geometry.y,1697.984
editorial,preview-prod,.teinvit-canvas,geometry.width,469.563
editorial,preview-prod,.teinvit-canvas,geometry.height,651.094
editorial,preview-prod,.teinvit-canvas,geometry.clientWidth,470
editorial,preview-prod,.teinvit-canvas,geometry.clientHeight,651
editorial,preview-prod,.teinvit-canvas,geometry.scrollWidth,470
editorial,preview-prod,.teinvit-canvas,geometry.scrollHeight,651
editorial,preview-prod,.teinvit-canvas,inline.styleAttr,font-size: 1em;
editorial,preview-prod,.teinvit-canvas,inline.styleFontSize,1em
editorial,preview-prod,.teinvit-canvas,inline.styleMarginTop,
